Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_range,Distance,Att_rate
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,2,Female,Sales Executive,Single,5993,8,Yes,11,8,1,6,4,0,5,39-48,Very nearby,1
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,3,Male,Research Scientist,Married,5130,1,No,23,10,3,10,7,1,7,49-58,Very nearby,0
37,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,Male,Laboratory Technician,Single,2090,6,Yes,15,7,3,0,0,0,0,29-38,Very nearby,1
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,4,Female,Research Scientist,Married,2909,1,Yes,11,8,3,8,7,3,0,29-38,Very nearby,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,1,Male,Laboratory Technician,Married,3468,9,No,12,6,3,2,2,2,2,18-28,Very nearby,0
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,4,Male,Laboratory Technician,Single,3068,0,No,13,8,2,7,7,3,6,29-38,Very nearby,0
59,No,Travel_Rarely,Research & Development,3,3,Medical,1,3,Female,Laboratory Technician,Married,2670,4,Yes,20,12,2,1,0,0,0,59-68,Very nearby,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,4,Male,Laboratory Technician,Divorced,2693,1,No,22,1,3,1,0,0,0,29-38,far,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,4,Male,Manufacturing Director,Single,9526,0,No,21,10,3,9,7,1,8,39-48,far,0
36,No,Travel_Rarely,Research & Development,27,3,Medical,1,3,Male,Healthcare Representative,Married,5237,6,No,13,17,2,7,7,7,7,29-38,very far,0
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,1,Male,Laboratory Technician,Married,2426,0,No,13,6,3,5,4,0,3,29-38,nearby,0
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,4,Female,Laboratory Technician,Single,4193,0,Yes,12,10,3,9,5,0,8,29-38,nearby,0
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,1,Male,Research Scientist,Divorced,2911,1,No,17,5,2,5,2,4,3,29-38,far,0
34,No,Travel_Rarely,Research & Development,19,2,Medical,1,2,Male,Laboratory Technician,Divorced,2661,0,No,11,3,3,2,2,1,2,29-38,far,0
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1,3,Male,Laboratory Technician,Single,2028,5,Yes,14,6,3,4,2,0,3,29-38,far,1
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,2,Female,Manufacturing Director,Divorced,9980,1,No,11,10,3,10,9,8,8,29-38,far,0
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,1,Male,Research Scientist,Divorced,3298,0,Yes,12,7,2,6,2,0,5,29-38,Very nearby,0
22,No,Non-Travel,Research & Development,16,2,Medical,1,4,Male,Laboratory Technician,Divorced,2935,1,Yes,13,1,2,1,0,0,0,18-28,nearby,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,1,Female,Manager,Married,15427,2,No,16,31,3,25,8,3,7,49-58,Very nearby,0
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,4,Male,Research Scientist,Single,3944,5,Yes,11,6,3,3,2,1,2,39-48,Very nearby,0
24,No,Non-Travel,Research & Development,11,2,Other,1,1,Female,Manufacturing Director,Divorced,4011,0,No,18,5,2,4,2,1,3,18-28,nearby,0
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1,3,Male,Sales Representative,Single,3407,7,No,23,10,3,5,3,0,3,29-38,nearby,1
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1,Female,Research Director,Single,11994,0,No,11,13,3,12,6,2,11,29-38,Very nearby,0
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,3,Male,Research Scientist,Single,1232,1,No,14,0,3,0,0,0,0,18-28,nearby,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,1,2,Male,Research Scientist,Single,2960,2,No,11,8,3,4,2,1,3,29-38,Very nearby,1
53,No,Travel_Rarely,Research & Development,5,3,Other,1,3,Female,Manager,Divorced,19094,4,No,11,26,2,14,13,4,8,49-58,Very nearby,0
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,1,2,Female,Research Scientist,Single,3919,1,Yes,22,10,3,10,2,6,7,29-38,nearby,1
42,No,Travel_Rarely,Sales,8,4,Marketing,1,3,Male,Sales Executive,Married,6825,0,No,11,10,3,9,7,4,2,39-48,Very nearby,0
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,1,Female,Healthcare Representative,Married,10248,3,No,14,24,3,22,6,5,17,39-48,Very nearby,0
46,No,Travel_Rarely,Sales,2,4,Marketing,1,2,Female,Manager,Single,18947,3,No,12,22,2,2,2,2,1,39-48,Very nearby,0
33,No,Travel_Rarely,Research & Development,2,3,Medical,1,3,Male,Laboratory Technician,Single,2496,4,No,11,7,3,1,1,0,0,29-38,Very nearby,0
44,No,Travel_Rarely,Research & Development,10,4,Other,1,4,Male,Healthcare Representative,Married,6465,2,Yes,13,9,4,4,2,1,3,39-48,nearby,0
30,No,Travel_Rarely,Research & Development,9,2,Medical,1,4,Male,Laboratory Technician,Single,2206,1,No,13,10,3,10,0,1,8,29-38,nearby,0
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,1,4,Male,Sales Representative,Married,2086,3,No,14,19,4,1,0,0,0,39-48,Very nearby,1
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,2,Male,Research Scientist,Married,2293,2,Yes,16,6,2,2,0,2,0,18-28,Very nearby,1
43,No,Travel_Rarely,Research & Development,2,2,Medical,1,4,Female,Research Scientist,Divorced,2645,1,No,12,6,2,5,3,1,4,39-48,Very nearby,0
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,1,Male,Sales Representative,Married,2683,1,Yes,14,3,3,3,2,0,2,49-58,Very nearby,1
35,No,Travel_Rarely,Sales,2,3,Marketing,1,4,Female,Sales Representative,Married,2014,1,No,13,2,3,2,2,2,2,29-38,Very nearby,0
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,2,Female,Research Scientist,Married,3419,9,Yes,14,6,4,1,1,0,0,29-38,Very nearby,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,1,3,Female,Sales Executive,Married,5376,2,No,19,10,3,5,3,1,3,29-38,Very nearby,0
35,No,Travel_Rarely,Research & Development,4,2,Other,1,3,Male,Laboratory Technician,Divorced,1951,1,No,12,1,3,1,0,0,0,29-38,Very nearby,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Female,Laboratory Technician,Divorced,2341,1,No,13,1,3,1,0,0,0,18-28,Very nearby,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1,Male,Laboratory Technician,Single,2293,1,No,12,1,2,1,0,0,1,18-28,far,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,1,4,Male,Sales Executive,Single,8726,1,No,15,9,3,9,8,1,7,18-28,Very nearby,0
30,No,Travel_Frequently,Research & Development,1,2,Medical,1,3,Female,Laboratory Technician,Single,4011,1,No,23,12,3,12,8,3,7,29-38,Very nearby,0
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,2,Female,Research Director,Married,19545,1,No,12,23,3,22,15,15,8,39-48,nearby,1
34,No,Non-Travel,Sales,23,4,Marketing,1,2,Male,Sales Executive,Single,4568,0,No,20,10,3,9,5,8,7,29-38,far,0
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,2,Male,Research Scientist,Married,3022,4,No,21,8,3,1,0,0,0,29-38,far,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,1,Male,Sales Executive,Single,5772,4,Yes,21,14,3,9,6,0,8,39-48,Very nearby,0
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,4,Male,Laboratory Technician,Married,2269,1,No,19,1,3,1,0,0,1,29-38,Very nearby,0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1,Male,Laboratory Technician,Single,5381,9,Yes,13,23,3,1,0,0,0,49-58,Very nearby,1
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,3,Male,Laboratory Technician,Single,3441,1,Yes,13,2,2,2,2,2,2,29-38,Very nearby,1
44,No,Travel_Rarely,Sales,1,5,Marketing,1,2,Female,Sales Executive,Divorced,5454,5,Yes,21,9,2,4,3,1,3,39-48,Very nearby,0
35,No,Non-Travel,Research & Development,11,2,Medical,1,3,Male,Healthcare Representative,Married,9884,2,Yes,13,10,3,4,0,2,3,29-38,nearby,0
26,No,Travel_Rarely,Sales,23,3,Marketing,1,3,Female,Sales Executive,Married,4157,7,Yes,19,5,2,2,2,0,0,18-28,far,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,1,Female,Research Director,Single,13458,1,Yes,12,15,3,15,14,8,12,29-38,Very nearby,0
